79500US0603701,"Castaic, California"
79500US0603702,"Santa Clarita City,  California"
79500US0603703,"Lancaster City, California"
79500US0603704,"Palmdale City, California"
79500US0603705,"Chatsworth, Porter Ranch, California"
79500US0603706,"Granada Hills,  Sylmar, California"
79500US0603707,"Arleta, Pacoima, San Fernando, Cities, California"
79500US0603708,"Sunland, Sun Valley,  Tujunga, California"
79500US0603709,"San Gabriel Valley Region,  California"
79500US0603710,"Baldwin Park, Azusa, Duarte, Irwindale, California"
79500US0603711,"Glendora, Claremont, San Dimas, La Verne, California"
79500US0603712,"Pomona City, California"
79500US0603713,"Covina, Walnut,  California"
79500US0603714,"Diamond Bar, La Habra Heights,  Rowland Heights, California"
79500US0603715,"West Covina City, California"
79500US0603716,"La Puente, Industry City, California"
79500US0603717,"Arcadia, San Gabriel, Temple City,  California"
79500US0603718,"Pasadena City, California"
79500US0603719,"Glendale City, California"
79500US0603720,"Burbank City, California"
79500US0603721,"Northeast Hollywood, North Hollywood,  Valley Village, California"
79500US0603722,"Van Nuys, North Sherman Oaks,  California"
79500US0603723,"Mission Hills, Panorama City, California"
79500US0603724,"Encino, Tarzana,  California"
79500US0603725,"Canoga Park, Winnetka, Woodland Hills, California"
79500US0603726,"Calabasas, Agoura Hills, Malibu, Westlake Village, California"
79500US0603727,"Pacific Palisades, California"
79500US0603728,"Santa Monica, PUMA, California"
79500US0603729,"Westwood, California"
79500US0603730,"CentralPark, Hancock Park, Mid-Wilshire, California"
79500US0603731,"West Hollywood, Beverly Hills, California"
79500US0603732,"East Central Hollywood, California"
79500US0603733,"Central Koreatown, California"
79500US0603734,"Silver Lake, Echo Park, Westlake, California"
79500US0603735,"Mount Washington, Highland Park, Glassell Park, California"
79500US0603736,"Alhambra,  South Pasadena, California"
79500US0603737,"Monterey Park, Rosemead , California"
79500US0603738,"El Monte, South El Monte, California"
79500US0603739,"Whittier City, Hacienda Heights, California"
79500US0603740,"Pico Rivera, Montebello, California"
79500US0603741,"Bell Gardens, Bell, Maywood, Cudahy, Commerce, California"
79500US0603742,"Huntington Park City, Florence-Graham, Walnut Park PUMA, California"
79500US0603743,"East Los Angeles, California"
79500US0603744,"Central City, Boyle Heights, California"
79500US0603745,"Southeast Vernon, East Vernon, California"
79500US0603746,"Central/Univ. of Southern California, Exposition Park, California"
79500US0603747,"Central, West Adams, Baldwin Hills, California"
79500US0603748,"Southwest Marina del Rey, Westchester, Culver City, California"
79500US0603749,"Inglewood Cit, California"
79500US0603750,"South Central, Westmont, California"
79500US0603751,"South Central, Watts, California"
79500US0603752,"South Gate, Lynwood, California"
79500US0603753,"Downey City, California"
79500US0603754,"La Mirada, Santa Fe Springs, California"
79500US0603755,"Norwalk City, California"
79500US0603756,"Bellflower, Paramount, California"
79500US0603757,"Compton City, West Rancho Dominguez, California"
79500US0603758,"Gardena, Lawndale, West Athens, California"
79500US0603759,"Hawthorne, California"
79500US0603760,"Redondo Beach, Manhattan Beach, Hermosa Beach, California"
79500US0603761,"Torrance City, California"
79500US0603762,"Carson City, California"
79500US0603763,"Long Beach City,  California"
79500US0603764,"Lakewood, Cerritos, Artesia, Hawaiian Gardens, California"
79500US0603765,"Long Beach City East,  California"
79500US0603766,"Long Beach City Southwest & Port, California"
79500US0603767,"South San Pedro, California"
79500US0603768,"Palos Verdes Peninsula PUMA, California"
79500US0603769,"Long Beach Central, Signal Hill, California"
